RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
65.56356,63,27,10,26.4,0.24642089,0.9576723,1805.2291,1
69.454094,3,0,97,29.1,-0.05460316,0.9116251,732.1955,1
66.34819,82,2,16,25.4,0.26560628,0.0028242613,140.1835,1
67.91528,0,0,100,26.2,0.20797443,0.04639316,774.1949,1
62.55515,1,0,99,24.2,0.11368965,2.2073793,863.61115,1
74.574165,0,0,100,25.2,0.18358247,1.8091412,126.14031,1
53.136326,60,37,2,22.0,0.5285352,0.0,82.78127,1
67.81038,0,0,100,26.6,-0.0026898927,0.09594284,325.58786,1
61.31285,0,0,99,28.2,0.015086104,2.4129868,373.37613,1
65.557495,0,0,100,28.6,0.16216338,1.0586836,404.8263,1
59.56465,0,0,100,27.8,0.16018917,0.58880717,473.89542,1
71.09629,98,2,0,26.8,0.6360194,1.7512039,234.90852,1
73.09419,100,0,0,22.5,0.39773464,0.9240021,206.79912,1
74.07233,40,0,60,27.7,0.32677263,0.077052884,263.42276,1
67.80431,96,4,0,24.5,0.6092378,1.3891383,682.3151,1
69.08915,66,25,9,28.5,0.544817,0.014345422,1897.9734,1
58.794163,16,76,8,27.4,0.5734836,0.04876383,1992.8833,1
65.957954,63,0,37,27.3,0.3358773,0.11882747,217.29349,1
62.05866,75,0,25,28.8,0.34635922,0.3779167,179.53258,1
65.000374,0,0,100,23.5,0.20327756,0.7302886,357.12964,1
56.74596,47,0,53,26.1,0.38442662,0.0,204.54288,1
63.799366,82,18,0,22.9,0.6417043,0.0046584345,717.94366,1
69.15714,15,84,1,19.3,0.65182376,0.029915975,780.52966,1
67.796135,100,0,0,27.7,0.48652327,0.24966869,442.05908,1
64.4338,97,1,2,27.2,0.41922525,0.0005826191,509.6041,1
70.746414,61,0,39,27.4,0.38776517,0.0,227.7167,1
67.83847,78,0,22,25.5,0.41964808,1.048731,302.97427,1
71.2922,58,0,42,27.7,0.28791678,0.23742466,192.59105,1
71.39542,47,0,53,28.2,0.31939393,0.7200817,149.28276,1
67.762856,78,0,22,25.5,0.35499126,0.2681067,219.581,1
63.271233,99,0,1,26.0,0.34786066,0.5001915,178.19186,1
62.930836,50,0,50,29.4,0.31739116,0.071994275,137.92714,1
64.26902,93,7,0,29.8,0.7608838,0.09272569,154.91516,1
66.32223,83,0,17,27.3,0.39910063,0.0003568734,90.81929,1
73.04344,70,8,22,25.1,0.32019857,0.0,154.82637,1
68.32094,64,19,17,27.4,0.31689602,2.4747617,283.78806,1
54.96806,45,31,23,25.0,0.51075095,8.38953e-05,143.13222,1
70.04968,83,3,13,22.5,0.53285754,0.4983008,105.56931,1
67.20265,49,51,0,25.7,0.6621608,3.1805632,1047.1058,1
61.25814,22,10,68,23.5,0.46737838,0.0,137.81915,1
62.931503,51,3,47,26.2,0.3364184,0.0,176.96222,1
62.931503,76,11,12,26.2,0.3364184,0.0,176.96222,1
71.05655,34,1,65,25.5,0.30620733,0.15699378,199.88791,1
62.20511,73,6,21,22.4,0.4548723,2.3746834,442.4055,1
65.72018,99,1,0,22.4,0.37469664,1.8238678,507.60822,1
68.88969,21,7,72,26.9,0.33002415,8.2479515,74.990074,1
67.687065,100,0,0,18.4,0.4288515,0.106116034,132.5309,1
63.851795,42,3,55,22.8,0.40040648,0.0,107.766075,1
66.78605,65,0,35,26.0,0.3818162,0.13222821,123.5598,1
66.25928,78,2,21,24.4,0.36459956,0.0593077,133.28989,1
68.77017,96,1,2,16.0,0.4069239,0.040876243,95.00004,1
62.54985,78,5,16,23.0,0.4175625,0.02830063,88.8544,1
74.74437,79,11,10,23.5,0.4148702,2.4273877,126.21144,1
66.0597,74,3,23,25.2,0.3522788,0.06667318,99.102554,1
62.01718,61,0,39,27.8,0.28745744,0.22160092,115.96706,1
63.402416,35,48,17,27.2,0.30686852,0.010190549,52.476433,1
63.402416,79,0,21,27.2,0.30686852,0.010190549,52.476433,1
63.402416,84,1,15,27.2,0.30686852,0.010190549,52.476433,1
72.31665,48,0,52,27.5,0.25304765,0.0037036147,77.494995,1
66.910835,91,8,1,27.4,0.34906414,0.10306104,208.56161,1
66.910835,0,0,100,27.4,0.34906414,0.10306104,208.56161,1
57.120644,30,28,42,29.4,0.15540014,0.021927908,62.60883,1
69.50201,88,12,0,27.4,0.6031225,0.009028612,142.4505,1
62.55941,81,10,9,24.8,0.3768064,0.02800719,96.59214,1
73.86842,94,0,6,24.6,0.39821985,2.086129,173.44293,1
67.70494,97,2,2,27.1,0.6373998,0.002133377,154.56282,1
67.41521,80,2,18,28.9,0.36613762,0.3783248,85.45154,1
69.62666,54,45,1,27.0,0.5639329,0.68746984,439.68536,1
