RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
55.75769,90,8,2,29.8,0.5697647,0.0,590.70514,1
56.611324,30,33,36,29.8,0.36956602,0.0,113.97694,1
63.00922,69,31,0,27.1,0.5761024,0.11154222,503.79953,1
63.00922,83,4,13,27.1,0.5761024,0.11154222,503.79953,1
67.81298,92,0,8,27.0,0.51862,0.0,323.929,1
73.4002,92,0,8,26.5,0.51616997,0.0,323.0915,1
67.683365,92,0,8,27.5,0.5137199,0.009239036,323.0882,1
58.60783,72,27,1,29.7,0.5161399,0.94996506,581.80695,1
69.61401,61,39,0,29.7,0.5383574,0.69393384,590.9559,1
68.12234,83,8,9,29.6,0.3669096,0.5361735,556.32086,1
66.84214,54,20,26,28.7,0.494223,0.0135564655,436.88132,1
66.84214,68,13,19,28.7,0.494223,0.0135564655,436.88132,1
66.84214,68,13,19,28.7,0.494223,0.0135564655,436.88132,1
66.84214,96,2,2,28.7,0.494223,0.0135564655,436.88132,1
60.301933,72,26,2,29.6,0.19182684,0.011772349,796.10767,1
64.49855,56,43,1,30.0,0.2621941,0.48733702,811.53625,1
58.901276,93,4,4,30.6,0.43169284,0.3478082,220.78879,1
69.05103,89,5,6,27.2,0.41694564,0.280636,184.27583,1
54.908543,85,4,11,26.0,0.4168101,0.065281905,190.10152,1
63.839287,81,0,19,29.1,0.5060691,0.7908905,1121.0195,1
58.79143,57,41,2,27.0,0.24423665,2.2492907,711.38824,1
57.959045,27,68,5,27.7,0.5007866,0.24074621,263.13022,1
52.65322,93,3,4,30.0,0.25990593,0.66729546,249.73305,1
55.852913,86,8,6,29.7,0.21188495,0.36939925,261.87964,1
65.49096,89,5,6,29.4,0.23514527,0.19743918,231.4218,1
65.49096,82,9,9,29.4,0.23514527,0.19743918,231.4218,1
55.833176,80,14,5,29.6,0.38154554,0.37109774,297.42273,1
71.53075,38,54,8,28.4,0.62217504,0.14962728,155.58575,1
60.641773,52,2,45,29.8,0.24482915,0.5134547,218.36163,1
58.053345,82,13,5,29.7,0.5789783,1.1379198,183.11578,1
58.11593,84,9,7,30.7,0.44305965,2.5347872,133.5454,1
59.071278,91,6,3,29.6,0.46462843,3.4464066,192.68556,1
55.192467,90,0,10,29.9,0.21311164,0.24946089,253.07191,1
65.13549,10,39,51,26.8,0.3662791,1.1158677,530.6536,1
75.07677,26,54,20,25.9,0.5349554,0.0,41.836933,1
78.51877,5,89,6,22.8,0.51238483,0.05631709,217.13548,1
54.37301,73,19,8,30.0,0.54584557,0.20803897,303.29593,1
55.41457,93,4,3,30.5,0.5126981,0.11184774,268.2373,1
56.621876,96,3,1,30.4,0.2883766,0.41365224,222.67305,1
58.802044,13,39,49,30.7,0.58992046,0.040470213,106.59101,1
55.640556,57,42,2,26.9,0.26150233,0.0,35.786556,1
65.49575,48,39,13,25.5,0.48194823,0.0,86.33546,1
56.51695,51,35,13,30.3,0.36205682,0.4157221,234.09685,1
54.50395,82,9,9,29.8,0.5797315,0.35242286,209.94627,1
62.14689,95,0,4,29.3,0.47137988,0.0009807969,242.85931,1
61.197605,95,3,2,28.1,0.3862924,0.0,794.2146,1
64.85412,16,82,2,23.3,0.6198685,0.06352782,586.68054,1
65.51578,0,52,48,23.6,0.51664406,0.0148068955,438.33496,1
59.808895,90,10,0,28.2,0.707986,0.43827325,247.29001,1
57.603554,92,0,8,28.2,0.38700923,0.123238206,69.84264,1
62.207333,72,2,27,27.7,0.54134953,0.0990637,113.79366,1
53.65196,79,3,18,28.1,0.5935422,0.8185981,119.095474,1
60.502865,79,3,18,27.0,0.5961956,0.9669363,119.78444,1
50.39985,97,3,0,25.3,0.50864935,0.03717084,245.27591,1
55.818375,90,0,10,26.7,0.3150424,2.6053548,207.45834,1
66.454414,-32768,-32768,-32768,24.7,0.21125162,0.04683695,390.75983,1
57.99784,82,15,2,29.8,0.5721389,0.9214997,394.27197,1
54.227856,67,0,33,30.7,0.26579326,0.35793942,261.01328,1
73.15399,44,23,33,26.1,0.5534333,0.0,192.93484,1
59.54915,94,1,5,28.1,0.47628403,0.17826234,447.40887,1
73.80827,61,20,19,20.9,0.5372146,0.061882827,198.07373,1
53.34078,53,0,47,26.2,0.19171993,0.0,356.78955,1
61.68659,34,46,19,26.9,0.53087723,0.24041747,184.62793,1
57.677307,95,2,3,28.0,0.38947496,0.7170011,325.91354,1
57.677307,95,2,3,28.0,0.38947496,0.7170011,325.91354,1
60.035137,84,15,1,26.3,0.5535158,0.25744227,418.98376,1
62.508602,78,10,12,28.4,0.41375366,1.2589785,290.22385,1
62.08572,90,0,10,29.1,0.24435945,0.0,93.20052,1
58.768105,79,3,18,29.7,0.4680956,0.285324,160.10866,1
58.047596,74,8,18,31.9,0.32568517,0.053136818,286.82565,1
56.661366,36,45,19,31.2,0.21722585,0.54149246,193.65681,1
64.82679,29,57,14,27.8,0.55343723,0.06560397,372.89166,1
64.82679,83,7,10,27.8,0.55343723,0.06560397,372.89166,1
58.03812,100,0,0,30.5,0.47829345,0.0,224.25151,1
64.3446,61,32,7,27.8,0.4746697,0.014454628,193.45859,1
58.94202,93,5,2,31.6,0.34988457,1.1156058,444.15576,1
59.996166,95,2,3,28.5,0.26574814,0.005531339,754.9858,1
52.32234,58,30,13,30.6,0.2584113,0.48734203,291.7264,1
53.479797,31,68,2,26.6,0.6487038,0.019763684,548.8539,0
61.656765,9,28,62,23.7,0.5439141,3.7458515,1362.0311,0
62.273006,88,12,0,27.3,0.4353792,0.09277315,796.40076,0
82.476036,18,82,0,22.6,0.6112562,0.195605,588.5098,0
66.52952,61,37,1,27.7,0.49758747,3.317221,710.4975,0
70.71346,68,32,0,27.7,0.6105316,3.3287432,1292.8953,0
64.4555,97,2,1,29.7,0.21879783,0.5245562,756.5697,0
60.83059,47,30,23,28.6,0.4890381,0.2211005,406.3025,0
69.79166,81,18,1,29.7,0.23832282,1.7873843,1147.5898,0
67.94383,100,0,0,29.6,0.4908021,3.9331694,632.94617,0
68.12842,81,19,0,28.0,0.4588932,0.925608,948.89435,0
79.40422,70,22,8,22.7,0.41011408,1.2543921,1901.8307,0
85.02747,0,59,41,20.5,0.591134,0.34688354,1598.9882,0
66.61552,90,10,0,28.8,0.60565245,0.7563984,1306.3534,0
60.76321,26,72,2,29.2,0.6319546,0.005266813,591.7729,0
64.667656,42,40,18,30.2,0.14672965,0.0,276.6022,0
59.61544,43,57,0,30.0,0.613394,0.4562102,289.76035,0
77.73244,84,16,0,25.2,0.5673777,0.62861633,756.63196,0
87.886734,9,26,65,18.3,0.44505814,1.4381603,589.8636,0
69.681114,31,38,30,24.5,0.5472412,3.1834617,2157.2776,0
62.86974,38,38,24,24.9,0.56454265,0.049029164,251.35294,0
59.81676,70,27,3,26.5,0.5375139,0.6020345,647.94824,0
61.83896,69,28,3,25.6,0.5542113,3.9134126,908.8366,0
59.678337,61,27,12,27.3,0.5898609,0.25857887,378.7131,0
72.32596,59,40,2,25.3,0.6041553,0.5075025,777.4889,0
67.15122,60,40,0,28.4,0.54705024,1.3222365,743.4439,0
60.251842,64,36,0,24.7,0.39294934,2.5520198,1491.4629,0
72.271194,77,23,0,28.0,0.54384696,0.28846788,213.52531,0
60.822353,22,74,3,29.2,0.5591986,0.96321744,779.9494,0
57.13544,74,25,0,30.2,0.46869606,3.2004383,242.15405,0
64.28863,11,46,43,26.2,0.4548547,12.003294,767.3739,0
