RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
61.48723,81,0,19,25.9,0.4007374,0.014248312,315.80536,1
59.354694,35,4,62,25.8,0.5126532,0.007841662,161.2984,1
56.11655,94,1,5,23.2,0.49003622,0.08747167,616.73395,1
63.016613,41,55,4,24.3,0.49293566,0.09820191,525.3693,1
58.530815,32,22,46,29.7,0.17386156,0.16947198,310.41342,1
55.629814,40,0,60,29.6,0.1686865,0.062570296,208.3864,1
68.42497,35,60,5,27.9,0.5005935,0.32558945,826.2091,1
67.5265,57,2,41,29.8,0.23994301,0.39713988,203.62744,1
56.660618,67,3,30,29,0.484492,0.044849426,280.2929,1
64.79607,67,0,33,30.3,0.4688869,0.04627964,206.18361,1
54.978165,30,70,1,30.8,0.07651964,0.03099633,191.94806,1
65.607864,58,8,34,30.1,0.40375298,0.04672316,111.75698,1
55.587147,87,2,10,30.3,0.35831818,0.04828855,99.586426,1
62.046997,69,6,25,29.9,0.5303448,1.4096016,142.34596,1
64.05152,65,0,35,29.8,0.48625863,0.013325327,429.21915,1
59.309525,54,1,44,29.5,0.29663992,0.000203121,85.87764,1
64.66361,76,0,24,27.7,0.61848456,4.775442,472.0141,1
62.81777,96,0,4,28.8,0.37225568,0.15074302,227.81467,1
60.73107,62,37,1,28.6,0.46248394,0.5174779,382.4143,1
62.981922,38,7,55,29.4,0.49947143,3.124767,202.36157,1
57.231495,95,0,5,29.5,0.19524771,0.17026001,223.52592,1
54.968292,24,46,30,30.4,0.3665704,0.7911676,218.39198,1
59.68362,59,7,34,30.9,0.34605277,0.058056604,166.35307,1
55.54068,99,0,1,30.7,0.34541637,0.042028304,202.8153,1
55.579823,70,1,29,30.8,0.21979043,0.050511885,186.47136,1
61.405796,68,30,3,30.2,0.39987737,0.074288085,168.9902,1
61.07017,86,6,8,30.8,0.17191204,0.14836818,216.63179,1
59.885303,70,28,2,27.7,0.5918336,0.012608447,417.4802,1
56.96114,88,0,12,30.4,0.18511519,0.026053203,227.72942,1
61.170406,71,0,29,31.4,0.0950772,0.10641092,190.16815,1
55.860996,33,6,61,30.7,0.361038,0.04375192,112.50242,1
55.811623,4,36,61,30.5,0.33720222,0.20909521,185.97462,1
